Test Domain

Social and Behavioral Analysis
Begin to understand human and social behavior through the use of appropriate disciplinary techniques.
Class 1,3,21,0,0,0
Class 2,0,0,0,0,0
Class 3,0,0,0,0,0
Class 4,0,0,0,0,0
Class 5,0,0,0,0,0
Class 6,26,0,0,0,0
Class 7,0,0,0,0,0
Class 8,0,0,0,0,0
Class 9,0,0,0,0,0
Class 10,0,0,0,11,0
Class 11,0,0,0,0,0
Class 12,0,0,0,0,0
Class 13,0,0,0,0,0
Class 14,0,0,0,0,0
Use their understanding of human behavior and relationships to discuss policy and/or other interventions.
Class 1,0,24,0,0,0
Class 2,0,0,0,0,0
Class 3,0,0,0,0,0
Class 4,0,0,0,0,0
Class 5,0,0,0,0,0
Class 6,26,0,0,0,0
Class 7,0,0,0,0,0
Class 8,0,0,0,0,0
Class 9,0,0,0,0,0
Class 10,0,0,0,9,0
Class 11,0,0,0,0,0
Class 12,0,0,0,0,0
Class 13,0,0,0,0,0
Class 14,0,0,0,0,0
Grasp how human experience is shaped by the social and institutional landscape
Class 1,0,0,7,12,5
Class 2,0,0,0,0,0
Class 3,0,0,0,0,0
Class 4,0,0,0,0,0
Class 5,0,0,0,0,0
Class 6,26,0,0,0,0
Class 7,0,0,0,0,0
Class 8,0,0,0,0,0
Class 9,0,0,0,0,0
Class 10,0,0,0,0,3
Class 11,0,0,0,0,0
Class 12,0,0,0,0,0
Class 13,0,0,0,0,0
Class 14,0,0,0,0,0

Historical Perspectives
Understand some of the diverse ways in which human beings in different cultures and societies have responded to temporal change.
Class 1,19,0,0,0,0
Class 2,15,0,0,0,0
Class 3,0,0,0,0,0
Class 4,0,0,0,0,0
Class 5,22,0,0,0,0
Class 6,22,0,0,0,0
Class 7,0,0,0,0,0
Class 8,0,0,0,0,0
Class 9,0,0,0,0,0
Class 10,0,0,0,0,0
Class 11,10,0,0,0,0
Examine contemporary issues from a historical perspective.
Class 1,19,0,0,0,0
Class 2,15,0,0,0,0
Class 3,0,0,0,0,0
Class 4,0,0,0,0,0
Class 5,22,0,0,0,0
Class 6,22,0,0,0,0
Class 7,0,0,0,0,0
Class 8,0,0,0,0,0
Class 9,0,0,0,0,0
Class 10,0,0,0,0,0
Class 11,10,0,0,0,0
Use historical perspective to gain insight into their own convictions and actions.
Class 1,0,19,0,0,0
Class 2,15,0,0,0,0
Class 3,0,0,0,0,0
Class 4,0,0,0,0,0
Class 5,22,0,0,0,0
Class 6,22,0,0,0,0
Class 7,0,0,0,0,0
Class 8,0,0,0,0,0
Class 9,0,0,0,0,0
Class 10,0,0,0,0,0
Class 11,10,0,0,0,0

Undergraduate Research

Writing Level 2



Expressive Arts
Understand and respond to works of art in an informed manner
Recognize the manner in which artistic content communicates ideas and feelings
Comprehend the formal processes which go into the creation of selected works of art

Literary Studies
Engage in the practice of written and oral expression.
Read a text critically to determine what meanings it holds, how and why those meanings are produced, and the effects of these choices.
Examine how literary works provide insight into the human experience.

Natural Science Inquiry 
Understand and apply the scientific and mathematical principles of their discipline.
Class 1,0,0,0,0,0
Understand the distinction between science and dogma.
Class 1,0,0,0,0,0
Use basic scientific principles to place information in a larger context.
Class 1,0,0,0,0,0
Understand how science does and does not work.
Class 1,0,0,0,0,0

Values, Beliefs and Ethics
Articulate an understanding of different value and belief systems that follow upon critical exploration of those systems
Express the commonalities discovered in value and belief systems across historical, philosophical, religious, and/or cultural boundaries.
Demonstrate familiarity with ways of making reasoned value judgments

Foreign Language

Physical Activity 

Writing Level 1

Artistic Creativity

Global Awareness

Professional and Leadership Development

Service to the World

Special Projects

Natural Science Inquiry with Lab
Use the scientific method to gather, interpret and evaluate data.
Employ tools to assess the validity of observations related to the natural world.
Join scientific principles with critical analysis in a manner that is appropriate to the discipline.
Relate their analysis and conclusions to those of the larger scientific community.





